Size	   Bubble Sort	Selection Sort	Insertion Sort	Cocktail Sorter	Comb Sorter	The Fast Heap Sort
50	30045.4	23498.25	16869.846	18073.29	13839.6	12669.27
100	42717.73	10355.625	40133.71	39728.03	15053.505	12717.385
150	95167.68	21719.44	26327.11	82268.516	17167.3	17900.46
200	167815.08	38551.72	43713.8	132849.56	24778.215	22814.625
250	252362.69	56748.12	66319.6	202187.31	30873.21	29507.55
300	375455.75	79301.36	94330.85	286605.62	37204.12	36325.234
350	502479.2	110972.38	131812.9	377201.62	46566.79	44742.906
400	636153.5	134865.58	160479.12	473883.72	49374.61	48396.65
450	800440.9	171115.78	206817.55	595028.6	66245.92	57072.62
500	1037203.1	213511.98	264838.12	742046.8	67897.01	67160.91
550	1173215.5	242747.64	300826.88	845936.8	74633.59	70216.62
600	1394774.4	290744.6	361144.62	1002700.56	81322.0	77710.34
650	1626921.2	332972.6	415612.1	1183398.5	89886.86	85698.34
700	1893893.6	384698.3	484101.03	1357565.5	103230.7	90926.55
750	2161069.0	440725.38	552114.0	1545504.1	115665.73	99647.63
800	2455553.5	502119.03	630695.56	1742473.0	115784.34	105319.04
850	2772363.2	557822.9	711044.06	1975557.2	121742.69	112277.9
900	3153806.8	627159.1	805078.8	2226190.5	135290.84	125653.24
950	3492511.8	695415.25	888661.7	2458756.2	140720.19	127812.12
1000	3938528.8	788114.6	1005754.8	2762848.8	153204.84	137819.34
